Topic,Category,Term,Occurrences
5,User guideline,branch,3
5,User guideline,tell,3
5,User guideline,table,34
5,User guideline,current,4
5,User guideline,development,6
5,User guideline,older,5
6,Generic policy,code,11
6,Generic policy,advisory,15
6,Generic policy,whitecheckmark,0
6,Generic policy,file,6
6,Generic policy,found,13
6,Generic policy,key,1
6,Generic policy,information,10
6,Generic policy,detail,2
6,Generic policy,include,7
6,Reporting mechanism,code,18
6,Reporting mechanism,advisory,19
6,Reporting mechanism,whitecheckmark,0
6,Reporting mechanism,file,12
6,Reporting mechanism,found,30
6,Reporting mechanism,key,26
6,Reporting mechanism,information,36
6,Reporting mechanism,detail,23
6,Reporting mechanism,include,24
6,Scope of practise,code,4
6,Scope of practise,advisory,0
6,Scope of practise,whitecheckmark,63
6,Scope of practise,file,0
6,Scope of practise,found,2
6,Scope of practise,key,0
6,Scope of practise,information,2
6,Scope of practise,detail,2
6,Scope of practise,include,1
6,User guideline,code,245
6,User guideline,advisory,2
6,User guideline,whitecheckmark,0
6,User guideline,file,72
6,User guideline,found,11
6,User guideline,key,68
6,User guideline,information,10
6,User guideline,detail,8
6,User guideline,include,12
7,Generic policy,see,12
7,Generic policy,submitted,0
7,Generic policy,zope,3
7,Generic policy,accept,0
7,Generic policy,party,0
7,Generic policy,third,0
7,Generic policy,treated,0
7,Generic policy,platform,0
7,Generic policy,nospam,0
7,Generic policy,share,8
7,Reporting mechanism,see,14
7,Reporting mechanism,submitted,2
7,Reporting mechanism,zope,1
7,Reporting mechanism,accept,7
7,Reporting mechanism,party,6
7,Reporting mechanism,third,6
7,Reporting mechanism,treated,2
7,Reporting mechanism,platform,1
7,Reporting mechanism,nospam,0
7,Reporting mechanism,share,2
7,Scope of practise,see,11
7,Scope of practise,submitted,0
7,Scope of practise,zope,12
7,Scope of practise,accept,0
7,Scope of practise,party,0
7,Scope of practise,third,0
7,Scope of practise,treated,0
7,Scope of practise,platform,1
7,Scope of practise,nospam,0
7,Scope of practise,share,0
7,User guideline,see,12
7,User guideline,submitted,0
7,User guideline,zope,0
7,User guideline,accept,9
7,User guideline,party,2
7,User guideline,third,2
7,User guideline,treated,1
7,User guideline,platform,7
7,User guideline,nospam,0
7,User guideline,share,8
8,Generic policy,release,5
8,Generic policy,fix,10
8,Generic policy,user,0
8,Generic policy,patch,0
8,Generic policy,currently,0
8,Generic policy,way,0
8,Generic policy,one,11
8,Generic policy,released,0
8,Generic policy,group,1
8,Reporting mechanism,release,18
8,Reporting mechanism,fix,33
8,Reporting mechanism,user,4
8,Reporting mechanism,patch,8
8,Reporting mechanism,currently,0
8,Reporting mechanism,way,9
8,Reporting mechanism,one,27
8,Reporting mechanism,released,5
8,Reporting mechanism,group,4
8,Scope of practise,release,66
8,Scope of practise,fix,26
8,Scope of practise,user,6
8,Scope of practise,patch,14
8,Scope of practise,currently,26
8,Scope of practise,way,5
8,Scope of practise,one,3
8,Scope of practise,released,10
8,Scope of practise,group,0
8,User guideline,release,20
8,User guideline,fix,5
8,User guideline,user,54
8,User guideline,patch,2
8,User guideline,currently,2
8,User guideline,way,21
8,User guideline,one,99
8,User guideline,released,2
8,User guideline,group,32
9,Generic policy,policy,111
9,Generic policy,application,0
9,Generic policy,thanks,0
9,Generic policy,developer,6
9,Generic policy,microsoft,16
9,Generic policy,thank,1
9,Generic policy,helping,0
9,Generic policy,block,2
9,Generic policy,header,0
9,Generic policy,visit,0
9,Reporting mechanism,policy,17
9,Reporting mechanism,application,0
9,Reporting mechanism,thanks,0
9,Reporting mechanism,developer,1
9,Reporting mechanism,microsoft,12
9,Reporting mechanism,thank,4
9,Reporting mechanism,helping,2
9,Reporting mechanism,block,4
9,Reporting mechanism,header,1
9,Reporting mechanism,visit,1
9,Scope of practise,policy,13
9,Scope of practise,application,1
9,Scope of practise,thanks,0
9,Scope of practise,developer,8
9,Scope of practise,microsoft,0
9,Scope of practise,thank,0
9,Scope of practise,helping,0
9,Scope of practise,block,0
9,Scope of practise,header,0
9,Scope of practise,visit,0
9,User guideline,policy,14
9,User guideline,application,40
9,User guideline,thanks,1
9,User guideline,developer,21
9,User guideline,microsoft,1
9,User guideline,thank,5
9,User guideline,helping,3
9,User guideline,block,2
9,User guideline,header,3
9,User guideline,visit,0
10,Generic policy,model,12
10,Generic policy,click,6
10,Generic policy,may,12
10,Generic policy,sure,12
10,Generic policy,also,5
10,Generic policy,example,2
10,Generic policy,product,2
10,Generic policy,based,2
10,Generic policy,considered,2
10,Generic policy,normal,2
10,Reporting mechanism,model,0
10,Reporting mechanism,click,6
10,Reporting mechanism,may,11
10,Reporting mechanism,sure,38
10,Reporting mechanism,also,11
10,Reporting mechanism,example,3
10,Reporting mechanism,product,7
10,Reporting mechanism,based,1
10,Reporting mechanism,considered,2
10,Reporting mechanism,normal,2
10,Scope of practise,model,0
10,Scope of practise,click,0
10,Scope of practise,may,5
10,Scope of practise,sure,0
10,Scope of practise,also,6
10,Scope of practise,example,2
10,Scope of practise,product,1
10,Scope of practise,based,3
10,Scope of practise,considered,4
10,Scope of practise,normal,0
10,User guideline,model,115
10,User guideline,click,0
10,User guideline,may,29
10,User guideline,sure,33
10,User guideline,also,27
10,User guideline,example,5
10,User guideline,product,5
10,User guideline,based,27
10,User guideline,considered,8
10,User guideline,normal,2
