Category,Document
History of vulnerability,"Past Security Issues - | Vulnerability | Affected Versions |
| ------- | ------------------ |
| [Zip Slip Vulnerability in .a extraction](https://github.com/MobSF/Mobile-Security-Framework-MobSF/security/advisories/GHSA-4hh3-vj32-gr6j) | `<=4.0.6` |
| [Open Redirect in Login redirect](https://github.com/MobSF/Mobile-Security-Framework-MobSF/security/advisories/GHSA-8m9j-2f32-2vx4) | `<=4.0.4` |
| [SSRF in firebase database check](https://github.com/MobSF/Mobile-Security-Framework-MobSF/security/advisories/GHSA-wpff-wm84-x5cx) | `<=3.9.7` |
| [SSRF in AppLink check via abusing url redirect](https://github.com/MobSF/Mobile-Security-Framework-MobSF/security/advisories/GHSA-m435-9v6r-v5f6) | `<=3.9.6` |
| [SSRF in AppLink check via crafted android:host](https://github.com/MobSF/Mobile-Security-Framework-MobSF/security/advisories/GHSA-wfgj-wrgh-h3r3) | `<=3.9.5`|
| [Arbitrary Local file read in APK icon resource](https://github.com/MobSF/Mobile-Security-Framework-MobSF/commit/a58f8a8c0aa49e1581d97e19e8e2255ca96cd838)  | `>=1.0.4, <=3.9.2` |
| [Remote Code Execution via arbitrary file overwrite vulnerability in apktool <2.9.2](https://github.com/MobSF/Mobile-Security-Framework-MobSF/commit/19c1b55c2c59596f2d43439926c9dc976cbeaec4),  [[CVE-2024-21633]](https://github.com/0x33c0unt/CVE-2024-21633) | `<=3.9.1` |
| [Arbitrary Local file read regression](https://github.com/MobSF/Mobile-Security-Framework-MobSF/issues/1197)  | `<3.0.0` |
| [Upload a malicious zip file can overwrite arbitary files](https://github.com/MobSF/Mobile-Security-Framework-MobSF/issues/358)  | `>=0.9.3.2, <=0.9.4.1` |
| [Arbitrary Local file read](https://github.com/MobSF/Mobile-Security-Framework-MobSF/pull/166) | `<=0.9.2` |"
Reporting mechanism,Reporting a Vulnerability - Security Policy
Generic policy,Security Policy
Scope of practise,"Supported Versions - The following releases of Saleor are currently supported.

| Version | Supported          |
| ------- | ------------------ |
| ≥ 3.16  | :white_check_mark: |
| < 3.16  | :x:                |"
Reporting mechanism,"Reporting a Vulnerability - Please DO NOT report security vulnerabilities using a public GitHub issue. If you believe you've found a security issue, please contact us through one of the following methods:
- https://github.com/saleor/saleor/security/advisories
- Through our mailing list: security@saleor.io

We do not currently have a bounty program in place, so we cannot offer monetary rewards for any reported problems.

Whichever method you choose, you will be credited as the reporter once the announcement is published."
Reporting mechanism,"Reporting a Vulnerability - If you believe you’ve found a security vulnerability in a Jupyter
project, please report it to security@ipython.org. If you prefer to
encrypt your security reports, you can use [this PGP public key](https://jupyter-notebook.readthedocs.io/en/stable/_downloads/1d303a645f2505a8fd283826fafc9908/ipython_security.asc)."
Generic policy,Security Policy
Scope of practise,"Supported Versions - | Version | Supported          |
| ------- | ------------------ |
| <= 0.4  | :x:                |
| 0.5.x   | :white_check_mark: |
| 0.6.x   | :white_check_mark: |
| 0.7.x   | :white_check_mark: |
| dev     | :white_check_mark: |"
Reporting mechanism,"Reporting a Vulnerability - If you detect a vulnerability, contact the PyAnsys Core team mentioning the repository and the details of your finding. The team will address it as soon as possible."
Generic policy,Using PaddlePaddle Securely - This document describes model security and code security in PaddlePaddle. It also provides guidelines on how to report vulnerabilities in PaddlePaddle.
User guideline,"PaddlePaddle Model Security - PaddlePaddle attaches great importance to security and privacy of model. This includes how to prevent the model from outputting wrong decision results under the interference when it is used in security-related and safety-critical scenarios, and how to avoid leaking data and privacy information from the model itself, the model gradient or the model inference results.



[PaddleSleeve](https://github.com/PaddlePaddle/PaddleSleeve) provides a series of security and privacy tools, which can help model developers and users systematically evaluate and improve the model security and privacy in both development and deployment stages.



These tools include adversarial example evaluation test, pseudo-natural environment robustness evaluation test, model reversing evaluation test, member inference evaluation test, sample denoising, adversarial training, privacy enhancement optimizer, etc."
User guideline,"Running untrusted models - Always load and execute untrusted models inside a sandbox and be sure to know the security impacts.
There are several ways in which a model could become untrusted. PaddlePaddle has enough features to impact on the system. (e.g. `paddle.load` uses [pickle](https://docs.python.org/3/library/pickle.html) implicitly, which may cause malformed models to achieve arbitrary code execution). So we recommend when using the untrusted models, you need to carefully audit it and run PaddlePaddle inside a sandbox."
User guideline,"PaddlePaddle Code Security - PaddlePaddle always take code security seriously. However, due to the complexity of the framework and its dependence on other thirdparty open source libraries, there may still be some security issues undetected. Therefore, we hope that more security researchers and PaddlePaddle developers can participate in the code security program. We encourage responsible disclosure of security issues, as well as contributing code to improve our vulnerability finding tools to make PaddlePaddle safer."
User guideline,"Code security tools - PaddlePaddle security team attaches great importance to the security of the framework. In order to find and fix security issues as soon as possible, we are continuously conducting code security audit and developing automatic vunerability discovery tools. We have already open sourced some of them to the community, hoping this could encourage people to contribute and improve the safety and robustness of PaddlePaddle. [This tool](https://github.com/PaddlePaddle/PaddleSleeve/tree/main/CodeSecurity) includes two parts. The dynamic part includes some op fuzzer samples. And the static part includes some CodeQL samples. Both of them are aim to find vulnerabilities in PaddlePaddle framework codebase. By referring the samples, security researchers can write their own fuzzers or QLs to test more PaddlePaddle modules, and find more code security issues."
Reporting mechanism,"Reporting vulnerabilities - We encourage responsible disclosure of security issues to PaddlePaddle and please email reports about any security issues you find to paddle-security@baidu.com.



After the security team receives your email, they will communicate with you in time. The security team will work to keep you informed of an issue fix.



In order to reproduce and identify the issue, please include the following information along with your email:

- The details of the vulnerability including how to reproduce it. Try to attach a PoC.
- The attack scenario and what an attacker might be able to achieve with this issue.
- Whether this vulnerability has been made public. If it is, please attach details.
- Your name and affiliation.

We will indicate the bug fix in the release of PaddlePaddle, and publish the vulnerability detail and the reporter in the security advisories (Your name will not be published if you choose to remain anonymous)."
User guideline,"What is a vulnerability? - In the process of computation graphs in PaddlePaddle, models can perform arbitrary computations , including reading and writing files, communicating with the network, etc. It may cause memory exhaustion, deadlock, etc., which will lead to unexpected behavior of PaddlePaddle. We consider these behavior to be security vulnerabilities only if they are out of the intention of the operation involved.



Some unexpected parameters and behaviors have been checked in PaddlePaddle by throwing exceptions in Python or return error states in C++. In these cases, denial of service is still possible, but the exit of the PaddlePaddle is clean. Since the error handling of PaddlePaddle is expected and correct, these cases are not security vulnerabilities.



If malicious input can trigger memory corruption or non-clean exit, such bug is considered a security problem.



[security advisories](./security/README.md)"
Reporting mechanism,"Reporting security issues - To report a security issue, email jhpyle@gmail.com and include the
phrase ""docassemble security"" in the subject line.

You will receive a response indicating the next steps in handling your
report. After the initial reply to your report, you will be kept
informed of the progress towards a fix and full announcement, and you
may be asked for additional information or guidance.

Report security bugs in third-party modules to the person or team
maintaining the module.

To learn more about ensuring security in **docassemble**, please see
the [Security] section in the [documentation].

[Security]: https://docassemble.org/docs/security.html
[documentation]: https://docassemble.org/docs.html"
Generic policy,Security Policy
Scope of practise,"Supported Versions - `qiskit-ibm-runtime` supports one minor version release at a time, both for bug
and security fixes. For example, if the most recent release is 0.12.1, then the
0.12.x release series is currently supported."
Reporting mechanism,"Reporting a Vulnerability - To report vulnerabilities, you can privately report a potential security issue
via the Github security vulnerabilities feature. This can be done here:

https://github.com/Qiskit/qiskit-ibm-runtime/security/advisories

Please do **not** open a public issue about a potential security vulnerability.

You can find more details on the security vulnerability feature in the Github
documentation here:

https://docs.github.com/en/code-security/security-advisories/guidance-on-reporting-and-writing/privately-reporting-a-security-vulnerability"
Generic policy,Security Policy
Scope of practise,Supported Versions - Only the latest non-prerelease version is supported.
Reporting mechanism,"Security contact information - To report a security vulnerability, please use the
[Tidelift security contact](https://tidelift.com/security). Tidelift will coordinate the
fix and disclosure."
Reporting mechanism,"Security Policy - In case you have found a security issue with ANY Jazzband project
please **do NOT open public GitHub issues, pull requests or anything
that could leak sensitive information to the public**.

Jazzband asks you to instead responsibly report the security issue
by email to security@jazzband.co.

Your email is sent to the Jazzband roadies, the people that maintain
the Jazzband organization. A member of the roadies will respond to
you acknowledging your initial email and then, depending on the
action to be taken, further followup emails afterwards.

If you would like to optionally encrypt the email to security@jazzband.co
please use the PGP key with the fingerprint:

```
02DE 8F84 2900 411A DD70  B137 4D87 558A F652 A00F
```

The key's short ID is `F652A00F` and can be fetched from many public
key servers."
Generic policy,Security Policy
Scope of practise,Supported Versions - * 0.7.X
Reporting mechanism,Reporting a Vulnerability
Projects practise,"Vulnerabilities in the implementations - First, check to see if our upstream, PQClean, has issued any updates, and open a
ticket with them if necessary according to their policy:
https://github.com/PQClean/PQClean/security/policy

If they claim no patch is available, you may have to escalate to the creators/implementors:

* Classic McEliece: https://classic.mceliece.org/nist/mceliece-submission-20221023.pdf#:~:text=E%2Dmail%20address,%2Eyp%2Eto

* Kyber: https://github.com/pq-crystals/kyber/issues?q=security

* HQC: https://pqc-hqc.org/contact.html

* SPHINCS+: https://github.com/sphincs/sphincsplus/issues?q=security

* Dilithium: https://github.com/pq-crystals/dilithium/issues?q=security

* Falcon: https://falcon-sign.info/falcon.pdf#:~:text=Zhang-,falcon,ens%2Efr

If upstream has already issued an update, but we have not included it,
please open a ticket on our issue tracker about that.

If you want this process to occur faster, contributions are currently being sought
via [ticket #19](https://github.com/JamesTheAwesomeDude/pypqc/issues/19) on our
issue tracker."
Reporting mechanism,"Security flaws in the actual algorithms - First, check to see if the flaw has already been publicly disclosed:
https://csrc.nist.gov/Projects/post-quantum-cryptography/email-list

If the flaw has already been reported on, please proceed with the ""Vulnerabilities
in the implementations"" process above.

If the flaw has **not** been reported on yet:

- For algorithms which have **not** been standardized yet, please publish your
findings on that mailing list.

- For algorithms which **have** been standardized already (see the NIST page on
[Post-Quantum Cryptography Standardization](https://csrc.nist.gov/Projects/post-quantum-cryptography/Post-Quantum-Cryptography-Standardization)
for the current list), please contact the algorithm's creators/implementors directly
as soon as possible."
Reporting mechanism,"Vulnerabilities in the bindings - If the vulnerability is *not* with the implementation, or with the actual algorithms,
but with our Python bindings, please open a ticket on our issue tracker about that."
Reporting mechanism,"Reporting a Supply-Chain Compromise - If you suspect some element of the supply chain has been compromised
(e.g. pypqc has merged fake commits, or the PyPI project page has been
compromised, etc.), please e-mail james{{dot}}edington{{?}}uah.edu ASAP."
Generic policy,Security Policy
Scope of practise,"Supported Versions - The table below indicates which versions of `astropy` are
currently being supported with security updates.

| Version | Supported          |
| ------- | ------------------ |
| 7.0.x (main)   | :white_check_mark: |
| 6.1.x   | :white_check_mark: |
| < 6.1   | :x:                |"
Reporting mechanism,"Reporting a Vulnerability - [GitHub private security vulnerability reporting](https://docs.github.com/en/code-security/security-advisories/guidance-on-reporting-and-writing/privately-reporting-a-security-vulnerability)
should be enabled for `astropy`. But if that does not work for whatever reason, please report to the
[@astropy/security-team](https://github.com/orgs/astropy/teams/security-team) that is also listed on the [Astropy Team listing](https://www.astropy.org/team).

We will respond as soon as we are able. If vulnerability is accepted, we will work on a hotfix.
The timing depends on the available resources and the severity/risk of the vulnerability.
If a vulnerability is declined, we will take no further action as far as code is concerned. Either way, we will communicate back to you.

Thank you for your help!"
Generic policy,Security Policy
Scope of practise,"Supported Versions - Use this section to tell people about which versions of your project are
currently being supported with security updates.

| Version | Supported          |
| ------- | ------------------ |
| 0.x     | :white_check_mark: |"
Reporting mechanism,"Reporting a Vulnerability - Please use [this link](https://github.com/dan1hc/fgr/security/advisories/new) to report a vulnerability.

Project maintenance will analyze the situation and respond with 24-48 hours, depending on severity.

If vulnerability is confirmed, it will be patched in a time period commensurate with severity."
Generic policy,Security Policy
Scope of practise,"Supported Versions - | Version | Supported          |
| ------- | ------------------ |
| 4.x.x   | :white_check_mark: |
| < 4.x.x | :x:                |"
Reporting mechanism,"Reporting a Vulnerability - Please report (suspected) security vulnerabilities to vantage6@iknl.nl. You will receive a response from us within 72 hours.
If the issue is confirmed, we will release a patch as soon as possible. When the patched is released you will be informed."
Generic policy,Security Policy
Reporting mechanism,"Reporting a Vulnerability - If you find a potential security vulnerability please email security@ckan.org, rather than creating a public issue on GitHub.

We aim to respond to all valid reports within three working days."
Scope of practise,"Supported Versions - Security updates are offered for the **2 most recent** minor CKAN releases. It is critical to always run the latest patch
release for a minor version. To find out the currently supported version and learn more about CKAN releases see here:

    https://docs.ckan.org/en/latest/maintaining/releases.html

Fixed security vulnerabilites are assigned a CVE and registered using [GitHub Security Advisories](https://github.com/ckan/ckan/security/advisories), and also included in the [CHANGELOG.rst](CHANGELOG.rst).

Again, only the latest patch release contains all security patches applied so please ensure your CKAN instance is running on a supported version to avoid exposing your users and your data."
Generic policy,"Security Policy - There are many users using LibOSDP in some capacity in production. If you think
you found a bug that may have security implications, please follow the usual
responsible disclosure protocols. Any issue reported in this channel will be
acknowledged withing 3 business days.

If an issue has been confirmed  by a maintainer, we request the reporter to
respect a 90 day embargo period before making the issue public."
Scope of practise,"Supported Versions - LibOSDP will support the last 2 [releases][1] for security and bug fixes.

| Version | Branch | Supported          |
| ------- | -------|------------------- |
| <= 1.5  | N/A    | :x:                |
| 2.4.x   | 2.4.x  | :white_check_mark: |
| latest  | master | :white_check_mark: |"
Reporting mechanism,Reporting a Vulnerability - Please send an email to sidcha.dev@gmail.com ([GPG]([2])).
Reporting mechanism,"Security Mailing List - If you are a vendor using LibOSDP in a product (or any production capacity),
please send an email to sidcha.dev@gmail.com to get added to a private mailing
list which will be used to notify about critical incidents such as
vulnerabilities and potential fixes or workarounds before the issue has been made
public.

You can also follow the [security advisories][3] page but this will be updated
only after the issue has been made public.

Note: For very obvious reasons, not everyone can be added to this list. You
should be able to prove that you are indeed using LibOSDP in production.

[1]: https://github.com/goToMain/libosdp/releases
[2]: https://github.com/sidcha.gpg
[3]: https://github.com/goToMain/libosdp/security/advisories"
Generic policy,Security Policy
Reporting mechanism,Reporting a Vulnerability - To report a vulnerability please send an e-mail to: nawalnica_spluczka0b@icloud.com
Generic policy,Security Policy
Reporting mechanism,"Reporting Vulnerabilities - **⚠️ Please do not file GitHub issues for security vulnerabilities as they are public! ⚠️**

If you have any concern or believe you have found a vulnerability in Flask-AppBuilder,
please get in touch privately at
e-mail address [danielvazgaspar@gmail.com](mailto:danielvazgaspar@gmail.com).

We kindly ask you to include the following information in your report:
- Output from `pip freeze`
- Detailed steps to reproduce the vulnerability"
Generic policy,Security Policy - This is a project of the [Apache Software Foundation](https://apache.org) and follows the ASF [vulnerability handling process](https://apache.org/security/#vulnerability-handling).
Reporting mechanism,Reporting a Vulnerability - To report a new vulnerability you have discovered please follow the [ASF vulnerability reporting process](https://apache.org/security/#reporting-a-vulnerability).
Generic policy,Security policy
Reporting mechanism,"Reporting a vulnerability - If you discover a vulnerability with our software or server systems, please report it to us in private. Do not to attempt to harm our users, customer's data or our system's availability when looking for vulneratbilities.

Please contact us at security@pretix.eu with full details and steps to reproduce and allow reasonable time for us to resolve the issue before publishing your findings. If you wish to encrypt your email, you can find our GPG key [here](https://pretix.eu/.well-known/security@pretix.eu.asc).

We're not large enough to run a formal bug bounty program, but if you find a serious vulnerability in our service, we will find a way to show our gratitude."
Scope of practise,"Version support - Security support is provided for the current stable release as well as the two previous stable releases.
Be sure to keep your pretix installation up to date.

New releases and security issues will be announced on our [blog](https://pretix.eu/about/en/blog/). If you
subscribe to our [newsletter](https://pretix.eu/about/en/blog/) in the ""News about self-hosting pretix""
category, we will also send you an email on security issues. 

Past security issues are listed [on our website](https://pretix.eu/about/en/security)."
Generic policy,Security Policy
Reporting mechanism,"Reporting a Vulnerability - To report a security issue, please use the GitHub Security Advisory
[""Report a Vulnerability""](https://github.com/alexlancaster/pypop/security) tab.

The PyPop team will send a response indicating the next steps in handling your report. 
After the initial reply to your report, the security team will keep you informed of progress
and fix, and may ask for additional information or guidance."
Reporting mechanism,"Reporting Security Issues - Thanks for taking the time to make ClearML more secure!

To carry on the discussion more securely - Please send your report to [security@clear.ml](mailto:security@clear.ml)."
Generic policy,Security Policy
Scope of practise,Supported Versions - Security updates are applied only to the latest release.
Reporting mechanism,"Reporting a Vulnerability - If you have discovered a security vulnerability in this project, please report it privately. **Do not disclose it as a public issue.** This gives us time to work with you to fix the issue before public exposure, reducing the chance that the exploit will be used before a patch is released.

Please disclose it by email to <sybren@stuvel.eu>.

This project is maintained by a team of volunteers on a reasonable-effort basis. As such, vulnerabilities will be handled and/or disclosed in a best effort base."
Generic policy,Security Policy
Scope of practise,"Supported Versions - Only latest version is actively supported, but issues reported for earlier minor will be considered if they are serious."
Reporting mechanism,"Reporting a Vulnerability - Reported using regular GitHub issues. If there is some reason an issue cannot be made public before a fix has been made, contact @cyberw directly."
User guideline,"How to use Locust safely - Locust is not intended to be deployed on a public-facing server. By default the web UI is only exposed on localhost, so normally this is not a problem.

Do not give someone access to the web UI unless you trust them with everything else that is on that machine."
User guideline,How to use Locust nicely - Do not load test public web sites/services that you do not own.
Generic policy,Security Policy
Scope of practise,Supported Versions - We only provide active support for the [latest release](https://pypi.org/project/pymatgen).
Reporting mechanism,Reporting a Vulnerability - Please submit any vulnerabilities or bug reports via [GitHub private vulnerability reporting](https://github.com/materialsproject/pymatgen/security/advisories/new).
History of vulnerability,Previously Known Vulnerabilities - * [CVE-2024-23346](https://github.com/materialsproject/pymatgen/security/advisories/GHSA-vgv8-5cpj-qj2f)
Generic policy,"Security Policy - Security is very important for FastAPI and its community. 🔒

Learn more about it below. 👇"
Scope of practise,"Versions - The latest version of FastAPI is supported.

You are encouraged to [write tests](https://fastapi.tiangolo.com/tutorial/testing/) for your application and update your FastAPI version frequently after ensuring that your tests are passing. This way you will benefit from the latest features, bug fixes, and **security fixes**.

You can learn more about [FastAPI versions and how to pin and upgrade them](https://fastapi.tiangolo.com/deployment/versions/) for your project in the docs."
Reporting mechanism,"Reporting a Vulnerability - If you think you found a vulnerability, and even if you are not sure about it, please report it right away by sending an email to: security@tiangolo.com. Please try to be as explicit as possible, describing all the steps and example code to reproduce the security issue.

I (the author, [@tiangolo](https://twitter.com/tiangolo)) will review it thoroughly and get back to you."
User guideline,"Public Discussions - Please restrain from publicly discussing a potential security vulnerability. 🙊

It's better to discuss privately and try to find a solution first, to limit the potential impact as much as possible.

---

Thanks for your help!

The FastAPI community and I thank you for that. 🙇"
Reporting mechanism,"Security Contact Information - To report a security vulnerability, please use the
[Tidelift security contact](https://tidelift.com/security).
Tidelift will coordinate the fix and disclosure."
Generic policy,Security Policy - The Zope developer community uses the same security policy as the Plone developer community. The most up to date information about Plone security is on https://plone.org/security
Scope of practise,"Supported Versions - For supported versions, see the [Zope development roadmap](https://www.zope.dev/developer/roadmap.html)."
Reporting mechanism,"Reporting a Vulnerability - Please do **NOT** create a public bug report if you think this may be a security issue.
Instead, please contact the Plone and Zope Security Team via email: security@plone.org. See also https://plone.org/security/report

Only bug reports submitted directly to the security team email will be treated as responsible disclosure. Any offered for sale to third parties or submitted to public bug bounty programmes will be treated as irresponsible public disclosure. We will not confirm any submissions on third party platforms such as ""huntr"" or ""hackerone"" and do not give permission for those systems to accept reports on our behalf or to represent themselves as a conduit for vulnerability reports."
Reporting mechanism,"Security Policy - If you think you have identified a security issue with an Encode project, **do not open a public issue**.

To responsibly report a security issue, please navigate to the Security tab for the repo and click ""Report a vulnerability.""

![Screenshot of repo security tab showing ""Report a vulnerability"" button](https://github.com/encode/.github/raw/master/img/github-demos-private-vulnerability-reporting.png)

Be sure to include as much detail as necessary in your report. As with reporting normal issues, a minimal reproducible example will help the maintainers address the issue faster.

Thank you."
Reporting mechanism,"Security Issues and Bugs - Security issues can be reported to maintainers [privately via GitHub](https://docs.github.com/en/code-security/security-advisories/guidance-on-reporting-and-writing/privately-reporting-a-security-vulnerability):

- [**Report new vulnerability**](https://github.com/theupdateframework/python-tuf/security/advisories/new)

Please do not use the GitHub issue tracker to submit vulnerability reports. The issue tracker is intended for bug reports and to make feature requests. Major feature requests, such as design changes to the specification, should be proposed via a [TUF Augmentation Proposal](https://theupdateframework.github.io/specification/latest/#tuf-augmentation-proposal-tap-support) (TAP)."
Generic policy,"Security Policy - To report security issues with projects under the Pylons Project, send email to: pylons-project-security@googlegroups.com.
If we determine that your report may be a security issue with the project, we may contact you for further information.
We volunteers ask that you delay public disclosure of your report for at least ninety (90) days from the date you report it to us.
This will allow sufficient time for us to process your report and coordinate disclosure with you.

Once verified and fixed, the following steps will be taken.

-   We will use GitHub's Security Advisory tool to report the issue.
-   GitHub will review our Security Advisory report for compliance with Common Vulnerabilities and Exposures (CVE) rules.
    If it is compliant, they will submit it to the MITRE Corporation to generate a [CVE](https://www.cve.org/).
    This in turn submits the CVE to the [National Vulnerability Database (NVD)](https://nvd.nist.gov/vuln/search).
    GitHub notifies us of their decision.
-   Assuming it is compliant, we then publish our Security Advisory on GitHub, which triggers the next steps.
-   GitHub will publish the CVE to the CVE List.
-   GitHub will broadcast our Security Advisory via the [GitHub Advisory Database](https://github.com/advisories).
-   GitHub will send [security alerts](https://docs.github.com/en/code-security/supply-chain-security/managing-vulnerabilities-in-your-projects-dependencies/about-alerts-for-vulnerable-dependencies) to all repositories that use our package (and have opted into security alerts).
    This includes Dependabot alerts.
-   We will make a bug-fix release.
-   We will send an announcement through our usual channels, including those listed on the Pylons Project website's [Contact](https://pylonsproject.org/about-contact.html) page.
-   We will provide credit to the reporter or researcher in the vulnerability notice."
Generic policy,Security Policy - The Zope developer community uses the same security policy as the Plone developer community. The most up to date information about Plone security is on https://plone.org/security
Scope of practise,"Supported Versions - For supported versions, see the [Zope development roadmap](https://www.zope.dev/developer/roadmap.html)."
Reporting mechanism,"Reporting a Vulnerability - Please do **NOT** create a public bug report if you think this may be a security issue.
Instead, please contact the Plone and Zope Security Team via email: security@plone.org. See also https://plone.org/security/report

Only bug reports submitted directly to the security team email will be treated as responsible disclosure. Any offered for sale to third parties or submitted to public bug bounty programmes will be treated as irresponsible public disclosure. We will not confirm any submissions on third party platforms such as ""huntr"" or ""hackerone"" and do not give permission for those systems to accept reports on our behalf or to represent themselves as a conduit for vulnerability reports."
Reporting mechanism,Reporting a Vulnerability - Security Policy
Generic policy,Security Policy
Reporting mechanism,"Security contact information - To report a security vulnerability, please use the
[Tidelift security contact](https://tidelift.com/security).
Tidelift will coordinate the fix and disclosure."
Reporting mechanism,Reporting a Vulnerability - Security Policy
Generic policy,Security Policy
Scope of practise,"Supported Versions - | Version | Supported          |
|---------|--------------------|
 | 0.7.x   | :x:                |
 | 0.6.x   | :x:                |
| < 0.6.x | :x:                |"
Reporting mechanism,"Reporting a Vulnerability - If you have any vulnerability reports, please contact alexanderwu@deepwisdom.ai ."
Reporting mechanism,"Security Policy - treq is covered by the [Twisted project security policy](https://github.com/twisted/twisted/security/policy).

You can [privately report via GitHub](https://github.com/twisted/treq/security/advisories/new), or via email as described in the policy linked above."
Reporting mechanism,Reporting a Vulnerability - Security Policy
Generic policy,Security Policy - This is a project of the [Apache Software Foundation](https://apache.org) and follows the ASF [vulnerability handling process](https://apache.org/security/#vulnerability-handling).
Reporting mechanism,Reporting a Vulnerability - To report a new vulnerability you have discovered please follow the [ASF vulnerability reporting process](https://apache.org/security/#reporting-a-vulnerability).
Generic policy,Security Policy
Scope of practise,"Supported Versions - Only the latest released version is supported.
Alpha and beta releases are always unsupported with security fixes.

The project uses semantic versioning, as such, minor version changes are API compatible.

| Version  | Supported          |
| -------- | ------------------ |
| 0.18.x   | :white_check_mark: |
| < 0.18   | :x:                |"
User guideline,"Support Scope - This library was not designed with security in mind. If you are processing data that needs
to be protected we suggest you use a quality wrapper around OpenSSL.
[`pyca/cryptography`](https://cryptography.io/) is one example of such a wrapper.
The primary use-case of this library is as a portable library for interoperability testing
and as a teaching tool.

**This library does not protect against side-channel attacks.**

Do not allow attackers to measure how long it takes you to generate a key pair or sign a message.
Do not allow attackers to run code on the same physical machine when key pair generation or
signing is taking place (this includes virtual machines).
Do not allow attackers to measure how much power your computer uses while generating the key pair
or signing a message. Do not allow attackers to measure RF interference coming from your computer
while generating a key pair or signing a message. Note: just loading the private key will cause
key pair generation. Other operations or attack vectors may also be vulnerable to attacks. 
For a sophisticated attacker observing just one operation with a private key will be sufficient
to completely reconstruct the private key.

Fixes for side-channel vulerabilities will not be developed.

Please also note that any Pure-python cryptographic library will be vulnerable to the same
side-channel attacks. This is because Python does not provide side-channel secure primitives
(with the exception of [`hmac.compare_digest()`](https://docs.python.org/3/library/hmac.html#hmac.compare_digest)),
making side-channel secure programming impossible.

This library depends upon a strong source of random numbers. Do not use it on a system
where `os.urandom()` does not provide cryptographically secure random numbers."
Reporting mechanism,"Reporting a Vulnerability - If you find a security vulnerability in this library, you can report it using the ""Report a vulnerability"" button on the Security tab in github UI.
Alternatively, you can contact the project maintainer at hkario at redhat dot com."
Generic policy,Hyperledger Security Policy
Reporting mechanism,"Reporting a Security Bug - If you think you have discovered a security issue in any of the Hyperledger projects, we'd love to
hear from you. We will take all security bugs seriously and if confirmed upon investigation we will
patch it within a reasonable amount of time and release a public security bulletin discussing the
impact and credit the discoverer.

There are two ways to report a security bug. The easiest is to email a description of the flaw and
any related information (e.g. reproduction steps, version) to
[security at hyperledger dot org](mailto:security@hyperledger.org).

The other way is to file a confidential security bug in our
[JIRA bug tracking system](https://jira.hyperledger.org). Be sure to set the “Security Level” to
“Security issue”.

The process by which the Hyperledger Security Team handles security bugs is documented further in
our [Defect Response page](https://wiki.hyperledger.org/display/SEC/Defect+Response) on our
[wiki](https://wiki.hyperledger.org)."
Generic policy,Security Policy
Reporting mechanism,"Reporting a Vulnerability - For security issues, kindly email us at security@appwrite.io instead of posting a public issue in GitHub."
Generic policy,Security Policy
Reporting mechanism,"Security contact information - To report a security vulnerability, please use the
[Tidelift security contact](https://tidelift.com/security).
Tidelift will coordinate the fix and disclosure."
Generic policy,Security Policy
Scope of practise,"Supported Versions - | Version   | Supported          |
| --------- | ------------------ |
| 20.15.1 + | :white_check_mark: |
| < 20.15.1 | :x:                |"
Reporting mechanism,"Reporting a Vulnerability - To report a security vulnerability, please use the [Tidelift security contact](https://tidelift.com/security). Tidelift
will coordinate the fix and disclosure."
Generic policy,Security Policy
Scope of practise,"Supported Versions - Only the latest version of GitPython can receive security updates. If a vulnerability is discovered, a fix can be issued in a new release.

| Version | Supported          |
| ------- | ------------------ |
| 3.x.x   | :white_check_mark: |
| < 3.0   | :x:                |"
Reporting mechanism,"Reporting a Vulnerability - Please report private portions of a vulnerability to <https://github.com/gitpython-developers/GitPython/security/advisories/new>. Doing so helps to receive updates and collaborate on the matter, without disclosing it publicliy right away."
Generic policy,Security Policy
Scope of practise,"Supported Versions - | Version   | Supported |
| --------- | --------- |
| >= 1.11.1 | ✅        |

</br>

Please refer to the Snowflake [HackerOne program](https://hackerone.com/snowflake?type=team) for our security policies and for reporting any security vulnerabilities."
Generic policy,Security Policy
Scope of practise,Supported Versions - Security fixes are applied to the latest version.
Reporting mechanism,"Reporting a Vulnerability - If you find a potential security issue, please report it to info@martin-thoma.de
(the current maintainer).

We will try to find a fix in a timely manner and will then issue a security
advisory together with the update via GitHub
([example](https://github.com/py-pdf/pypdf/security/advisories/GHSA-xcjx-m2pj-8g79)).

If you don't get a reaction within 30 days, please open a public issue on
GitHub."
Reporting mechanism,"Reporting a Vulnerability - **If you've found a security vulnerability, please report it to security@matrix.org**.

For more information on our security disclosure policy, visit https://www.matrix.org/security-disclosure-policy/."
Generic policy,Security Policy
Reporting mechanism,"Reporting a Vulnerability - **Please do not report security vulnerabilities through public GitHub issues.**

Instead, report security vulnerabilities by email to [`arcticdb@man.com`](mailto:arcticdb@man.com)."
